Technology,Product.Family,Original.PID,Upsell,Migration
Switching,Cat2K,EDU-C2960X-24PD-L,EDU-C3650-24PD-L,
Switching,Cat2K,EDU-C2960X-24PS-L,EDU-C3650-24PS-L,
Switching,Cat2K,EDU-C2960X-48FPD-L,EDU-C3650-48FD-L,
Switching,Cat2K,EDU-C2960X-48FPS-L,EDU-C3650-48FS-L,
Switching,Cat2K,WS-C2960X-24PD-L,WS-C3650-24PD-S,
Switching,Cat2K,WS-C2960X-24PS-L,WS-C3650-24PS-S,
Switching,Cat2K,WS-C2960X-24PSQ-L,WS-C3650-24PS-S,
Switching,Cat2K,WS-C2960X-24TD-L,WS-C3650-24TD-S,
Switching,Cat2K,WS-C2960X-24TS-L,WS-C3650-24TS-S,
Switching,Cat2K,WS-C2960X-24TS-LL,WS-C3650-24TS-L,
Switching,Cat2K,WS-C2960X-48FPD-L,WS-C3650-48FD-S,
Switching,Cat2K,WS-C2960X-48FPS-L,WS-C3650-48FS-S,
Switching,Cat2K,WS-C2960X-48LPD-L,WS-C3650-48PD-S,
Switching,Cat2K,WS-C2960X-48LPS-L,WS-C3650-48PS-L,
Switching,Cat2K,WS-C2960X-48TD-L,WS-C3650-48TD-S,
Switching,Cat2K,WS-C2960X-48TS-L,WS-C3650-48TS-S,
Switching,Cat2K,WS-C2960X-48TS-LL,WS-C3650-48TS-L,
Switching,Cat2K,WS-C2960XR-24PD-I,WS-C3650-24PD-S,
Switching,Cat2K,WS-C2960XR-24PS-I,WS-C3650-24PS-S,
Switching,Cat2K,WS-C2960XR-24TD-I,WS-C3650-24TD-S,
Switching,Cat2K,WS-C2960XR-24TS-I,WS-C3650-24TS-S,
Switching,Cat2K,WS-C2960XR-48FPD-I,WS-C3650-48FD-S,
Switching,Cat2K,WS-C2960XR-48FPS-I,WS-C3650-48PD-S,
Switching,Cat2K,WS-C2960XR-48LPD-I,WS-C3650-48PS-S,
Switching,Cat2K,WS-C2960XR-48LPS-I,WS-C3650-48PS-S,
Switching,Cat2K,WS-C2960XR-48TD-I,WS-C3650-48TD-S,
Switching,Cat2K,WS-C2960XR-48TS-I,WS-C3650-48TS-S,
Switching,Cat2K,WS-C2960S-24PD-L,WS-C3650-24PD-S,WS-C2960X-24PD-L
Switching,Cat2K,WS-C2960S-48TD-L,WS-C3650-24TD-S,WS-C2960X-48TD-L
Switching,Cat2K,WS-C2960S-48FPD-L,WS-C3650-48FD-S,WS-C2960X-48FPD-L
Switching,Cat2K,WS-C2960S-48LPD-L,WS-C3650-48PD-S,WS-C2960X-48LPD-L
Switching,Cat2K,WS-C2960S-24TD-L,WS-C3650-24TD-S,WS-C2960X-24TD-L
Switching,Cat2K,WS-C2960S-48TS-L,WS-C3650-48TS-S,WS-C2960X-24TS-L
Switching,Cat2K,WS-C2960S-48LPS-L,WS-C3650-48PS-S,WS-C2960X-48LPS-L
Switching,Cat2K,WS-C2960S-48FPS-L,WS-C3650-48FS-S,WS-C2960X-48FPS-L
Switching,Cat2K,WS-C2960S-24TS-L,WS-C3650-24TS-S,WS-C2960X-24TS-L
Switching,Cat2K,WS-C2960S-24PS-L,WS-C3650-24PS-S,WS-C2960X-24PS-L
Switching,Cat2K,WS-C2960S-48TS-S,WS-C3650-48TS-S,WS-C2960X-48TS-L
Switching,Cat2K,WS-C2960S-24TS-S,WS-C3650-24TS-S,WS-C2960X-24TS-L
Switching,Cat3K,WS-C3750X-12S-E,,
Switching,Cat3K,WS-C3750X-12S-S,,
Switching,Cat3K,WS-C3750X-24P-E,,WS-C3850-24P-E
Switching,Cat3K,WS-C3750X-24P-L,,WS-C3850-24P-L
Switching,Cat3K,WS-C3750X-24P-S,,WS-C3850-24P-S
Switching,Cat3K,WS-C3750X-24S-E,,WS-C3850-24S-E
Switching,Cat3K,WS-C3750X-24S-S,,WS-C3850-24S-S
Switching,Cat3K,WS-C3750X-24T-E,,WS-C3850-24T-E
Switching,Cat3K,WS-C3750X-24T-L,,WS-C3850-24T-L
